city1,city2,increased_distance
Aosta,Biella,0.8850058670436869
Torino,Asti,0.6459737467463899
Novara,Vercelli,0.22723994983765977
Novara,Legnano,0.4192693417542206
Vercelli,Biella,0.2923761491547837
Alessandria,Pavia,0.49735055021352703
Alessandria,Asti,0.6108316529271048
Alessandria,Genova,0.5264922634447302
Cuneo,Savona,0.8219246310947941
Savona,Imperia,0.5335949466204567
Savona,Genova,0.791800403416531
Genova,Chiavari,0.4503637123043554
La Spezia,Carrara,0.49142379782203627
Milano,Rho,0.18196657136095942
Milano,Lodi,0.4097497818047506
Monza,Lecco,0.3299866096668462
Bergamo,Lecco,0.418037843061523
Bergamo,Brescia,0.7568083430058059
Brescia,Sondrio,0.6407471901012177
Como,Lecco,0.2989690101645818
Varese,Legnano,0.3320962195361272
Pavia,Lodi,0.4718895404128317
Lodi,Cremona,0.6158315372385789
Cremona,Fidenza,0.39996056650137923
Mantova,Verona,0.46950214103798477
Mantova,Carpi,0.4970535882745276
Piacenza,Fidenza,0.44494908064793887
Verona,Vicenza,0.5208522623472328
Vicenza,Schio,0.10352730774348691
Vicenza,Cittadella,0.42509414006954643
Padova,Cittadella,0.29093239442259716
Padova,Venezia,0.5976579151074886
Treviso,Conegliano,0.1364697029381741
Treviso,Bassano del Grappa,0.5333817865697014
Rovigo,Ferrara,0.554319909053671
Belluno,Conegliano,0.5078613784269905
Bassano del Grappa,Cittadella,0.14410687935145983
Trento,Schio,0.5089492099877471
Trento,Bolzano,0.6329341564095141
Trieste,Monfalcone,0.3259161930314623
Udine,Palmanova,0.19652085541734013
Udine,Pordenone,0.6599209257897317
Pordenone,Conegliano,0.4151761149381531
Gorizia,Monfalcone,0.18798903903830883
Bologna,Modena,0.4607166844253723
Bologna,Imola,0.4471889253627916
Modena,Carpi,0.28181038632115235
Modena,Reggio Emilia,0.39304745796909246
Reggio Emilia,Parma,0.5670845508881434
Parma,Fidenza,0.19732875243824036
Ferrara,Imola,0.48269950377693704
Ravenna,Forli,0.1604072718099538
Forli,Cesena,0.24633691425640333
Cesena,Rimini,0.48692919806627744
Rimini,Pesaro,0.3206680676365626
Rimini,Urbino,0.24814534019602125
Pisa,Pontedera,0.2218782594969354
Pisa,Cecina,0.2568700487668079
Livorno,Piombino,0.25799811992690214
Lucca,Montecatini Terme,0.3873291253700332
Siena,Poggibonsi,0.4933703353228571
Siena,Arezzo,0.5164130267422208
Siena,Terni,12.379.188.648.632.200
Pistoia,Montecatini Terme,0.1503363381410169
Pistoia,Prato,0.25752564728535116
Perugia,Assisi,0.24176039775437932
Terni,Spoleto,0.34816908762122994
Terni,Viterbo,0.5817219945878626
Spoleto,Rieti,0.39643816013030414
Spoleto,Assisi,0.4040925346423558
Assisi,Macerata,0.6108298173853253
Ancona,Macerata,0.3762414815086051
Ancona,Pesaro,0.5937908947973556
Ascoli Piceno,Fermo,0.2603402537543969
Fermo,Macerata,0.5536617473433872
Roma,Latina,0.7709790502194417
Roma,Rieti,0.7420901481851803
Latina,Frosinone,0.6622437081878928
Pontedera,Empoli,0.35516741434405263
Cecina,Piombino,0.4372689540034472
Piombino,Follonica,0.26444523718980695
Legnano,Rho,0.15746641067973335
Rho,Abbiategrasso,0.20346902626719693
Monfalcone,Palmanova,0.27559019912065774
Vigevano,Abbiategrasso,0.11253251485675696
Brescia,Cremona,0.7665585284234742
Carrara,Livorno,14.748.884.334.608.100
Carrara,Parma,0.6960586757139149
Firenze,Siena,0.7193341868531787
Follonica,Viterbo,14.232.175.384.954.900
Frosinone,Grossetto,10.106.648.917.360.700
Latina,Imperia,6.442.001.597.641.960
Roma,Viterbo,0.9043029053151197
Cesena,Arezzo,0.8811216371770106
Reggio Emilia,Lucca,0.6837601276947531
Genova,Piacenza,0.9626474759004918
Prato,Firenze,0.2607425157025707
Venezia,Rovigo,0.5221094644435451
Venezia,Trieste,16.421.735.665.819.900
